mc_number,mc_number_anon,doi,Journal,doi_article_prefix,container.title,published.print,issue,title,volume,author,issn,year,match,mc_prefix
AEJApp-2017-0077,NA,10.1257/app.20170077,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,Role Models or Individual Consulting: The Impact of Personalizing Micro-entrepreneurship Training,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0429,NA,10.1257/app.20160429,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-07-01,3,The Neighborhood Impacts of Local Infrastructure Investment: Evidence from Urban Mexico,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2017-0085,NA,10.1257/app.20170085,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-10-01,4,Minimum Wages and the Distribution of Family Incomes,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0223,NA,10.1257/app.20170223,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-04-01,2,"Temperature and Decisions: Evidence from 207,000 Court Cases",11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2017-0249,NA,10.1257/app.20170249,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,Partners in Crime,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2016-0567,NA,10.1257/app.20160567,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-04-01,2,School Finance Reform and the Distribution of Student Achievement,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2013-0480,NA,10.1257/app.20130480,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-01-01,1,Together We Will: Experimental Evidence on Female Voting Behavior in Pakistan,10,,1945-7790,2018,TRUE,AEJApp
AEJApp-2016-0436,NA,10.1257/app.20160436,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2019-01-01,1,The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,11,,1945-7790,2019,TRUE,AEJApp
AEJApp-2018-0329,NA,10.1257/app.20180329,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2020-04-01,2,"Place, Peers, and the Teenage Years: Long-Run Neighborhood Effects in Australia",12,,1945-7790,2020,TRUE,AEJApp
AEJApp-2016-0556,NA,10.1257/app.20160556,AEJ:Applied Economics,NA,American Economic Journal: Applied Economics,2018-10-01,4,The Effect of Terrorism on Employment and Consumer Sentiment: Evidence from Successful and Failed Terror Attacks,10,,1945-7790,2018,TRUE,AEJApp
